COMBINED_TRACT,COMBINED_BLOCK,pop18_44,pop45_64,pop65plus,pop_total,PSU_MOS_composite,PSU_prob,SSU_MOS_composite,SSU_prob
24033801407,240338014073,797,628,510,1935,7.715781545,0.210430406,2.88619744,0.374064173
24033801408,240338014081,763,531,223,1517,3.716244177,0.101352114,2.04888763,0.551332887
24033801408,240338014082,541,363,258,1162,3.716244177,0.101352114,1.667356547,0.448667113
24033801409,240338014091,646,524,405,1575,3.218141558,0.087767497,2.340222715,0.727196946
24033801409,240338014092,233,178,167,578,3.218141558,0.087767497,0.877918844,0.272803054
24033801410,240338014101,496,495,405,1396,4.223240726,0.115179293,2.142243934,0.507251202
24033801410,240338014102,562,457,371,1390,4.223240726,0.115179293,2.080996792,0.492748798
24033801411,240338014111,515,443,280,1238,3.978626337,0.108507991,1.800024799,0.452423688
24033801411,240338014112,558,549,361,1468,3.978626337,0.108507991,2.178601538,0.547576312
24033801500,240338015001,374,286,224,884,3.044965575,0.083044516,1.306808252,0.429170123
24033801500,240338015002,560,414,250,1224,3.044965575,0.083044516,1.738157323,0.570829877
24033801600,240338016001,492,199,127,818,3.029335125,0.082618231,1.086912139,0.358795608
24033801600,240338016002,356,176,126,658,3.029335125,0.082618231,0.909559161,0.300250426
24033801600,240338016003,469,208,109,786,3.029335125,0.082618231,1.032863825,0.340953966
24033801701,240338017011,1111,595,206,1912,4.615919538,0.125888715,2.464084341,0.533823071
24033801701,240338017012,618,493,355,1466,4.615919538,0.125888715,2.151835196,0.466176929
24033801702,240338017021,309,234,188,731,3.972379598,0.108337625,1.083403505,0.272734133
24033801702,240338017022,770,360,104,1234,3.972379598,0.108337625,1.54609351,0.389210918
24033801702,240338017023,579,323,125,1027,3.972379598,0.108337625,1.342882583,0.338054949
24033801704,240338017041,587,359,151,1097,5.784206593,0.157751089,1.460955926,0.252576719
24033801704,240338017042,1048,518,140,1706,5.784206593,0.157751089,2.138809262,0.369767094
24033801704,240338017043,645,544,327,1516,5.784206593,0.157751089,2.184441405,0.377656187
24033801707,240338017071,1061,418,160,1639,6.715406861,0.18314746,2.06315762,0.307227494
24033801707,240338017072,1066,409,199,1674,6.715406861,0.18314746,2.147164491,0.319737067
24033801707,240338017073,811,493,419,1723,6.715406861,0.18314746,2.50508475,0.37303544
24033801709,240338017091,861,524,129,1514,5.921131527,0.161485405,1.923683973,0.32488452
24033801709,240338017092,767,491,252,1510,5.921131527,0.161485405,2.066340573,0.348977313
24033801709,240338017093,335,229,208,772,5.921131527,0.161485405,1.150728898,0.194342736
